Age,Gender,Weight (kg),Carb Intake (g/day),Sugar Intake (g/day),Volume of Weights Lifted (kg/week)
27,Male,67.3,236.9,44.1,229.63596198227657
60,Female,48.3,171.4,50.2,209.70512421378154
30,Male,76.4,206.4,36.4,342.1101484117791
29,Male,89.3,185.6,66.4,168.68765754369275
26,Female,78.4,283.0,38.4,167.67535226057063
21,Female,70.7,178.1,65.7,180.07328450978505
56,Male,77.9,204.9,49.2,357.1260794263311
41,Female,97.1,208.5,49.7,127.42825353950275
51,Female,64.5,142.0,20.2,256.8363244821192
56,Male,75.4,190.4,51.2,10.519948964730974
58,Female,83.0,191.2,27.1,39.79803008667118
22,Male,78.0,268.8,51.2,290.9188908073167
32,Female,72.0,209.8,88.8,176.81315711006906
21,Female,69.9,181.1,22.2,116.78030992037117
56,Male,71.6,192.7,47.1,128.96053579013426
25,Male,81.4,196.7,37.3,157.96507332752475
62,Female,80.7,198.1,29.2,57.56378979117203
41,Female,100.1,246.4,34.2,151.1628890548417
45,Female,56.6,248.9,79.4,0.0
60,Male,96.1,150.5,84.7,348.6435621783819
44,Female,72.5,253.4,29.1,203.73519430338763
18,Male,73.9,237.6,58.0,348.30315425569927
51,Female,85.3,197.4,31.6,159.78426904691426
34,Female,85.2,126.3,36.4,153.95049199294485
54,Female,88.9,210.6,9.0,155.62390106848093
55,Female,91.5,182.3,92.6,82.52783669776034
43,Female,74.5,227.7,72.0,20.956454001653913
41,Male,91.7,232.3,37.0,72.35826255177375
56,Male,67.5,266.0,55.7,154.55620445574095
38,Male,71.3,146.9,42.0,74.91690620753172
47,Female,72.8,306.9,68.9,296.2286908094472
64,Male,68.7,244.8,43.2,118.94462398988567
30,Male,75.7,235.7,46.1,266.88506773730535
54,Female,85.8,295.8,36.8,199.4779435517176
20,Female,82.8,215.9,62.1,255.86151394600031
49,Male,67.6,251.7,94.2,282.87897437392246
52,Male,66.7,208.5,44.3,165.26300600663347
36,Male,64.7,242.0,44.1,422.47367146375075
31,Male,76.1,258.1,49.5,32.413944273090245
39,Male,56.0,252.9,55.2,75.50177415644801
34,Male,64.3,124.4,44.0,246.7456637581009
21,Male,69.5,179.3,42.2,221.7290039062673
62,Female,87.7,258.6,51.7,193.11798792619095
57,Male,73.4,224.9,15.0,221.04263630527353
36,Female,87.1,197.5,39.1,191.09941155660033
54,Female,77.3,225.4,10.0,209.50153429950993
19,Female,69.3,144.8,40.1,140.74780592434058
32,Male,69.8,239.3,31.0,269.37893266753525
19,Male,61.0,218.6,62.5,110.64374250725392
28,Female,103.8,204.3,35.3,67.87208511374446
62,Male,88.3,191.1,42.7,305.03256663292825
40,Male,82.2,211.6,7.0,208.0310939659021
27,Female,59.4,186.3,70.4,133.84924067822277
20,Male,69.6,183.8,28.3,112.32824372405571
22,Female,63.3,289.4,40.3,108.94443802159893
20,Female,76.5,120.7,65.6,157.47994924020583
55,Female,63.9,121.7,65.6,101.29645241709314
30,Female,67.0,239.1,27.8,57.16427331532433
59,Male,64.2,139.0,60.5,93.0249376318685
36,Female,72.1,99.8,27.0,81.96130266414347
57,Male,75.9,250.7,54.6,173.59804081600328
52,Male,72.4,263.0,34.3,182.3186367224342
41,Male,93.4,134.6,29.7,452.26251865032077
41,Male,84.7,110.2,50.7,322.5360026201172
34,Female,65.6,139.1,35.5,170.89896900087186
57,Female,78.9,165.0,90.4,305.99538940036143
27,Female,66.6,295.7,37.6,131.26958789364014
19,Female,70.3,178.5,26.2,183.3199813743534
61,Female,80.8,241.6,32.0,191.45964210203874
40,Male,83.0,236.1,49.7,246.62517716098415
23,Female,68.0,266.1,52.2,60.828091106601065
19,Male,61.7,168.7,56.2,164.4908267739242
38,Male,76.1,199.5,68.2,82.91617427448529
52,Female,80.2,189.0,16.6,202.32604483141122
46,Male,67.3,226.9,69.1,189.2088601503023
24,Male,84.8,260.8,31.7,0.0
46,Female,82.7,308.9,58.0,175.85735974810257
54,Female,67.2,180.5,84.4,174.53900189651728
40,Female,88.6,207.1,34.0,295.2524079226494
50,Male,88.9,243.3,33.2,304.3848197943337
25,Female,99.8,230.6,29.5,232.1127610875302
29,Female,95.5,285.8,43.2,36.528816261488714
63,Male,64.2,194.6,75.3,351.4474244715419
27,Female,86.1,180.1,27.7,134.50182499849055
32,Male,85.6,268.8,40.1,106.4941813009044
41,Male,70.8,215.2,69.5,0.0
43,Female,80.5,227.0,62.5,263.01013727741315
64,Male,52.5,196.4,40.0,176.0882318903893
59,Male,52.1,246.4,45.8,193.26434723405234
56,Female,54.4,156.7,68.3,171.16783644666722
20,Female,79.7,177.1,81.6,274.8962650536682
19,Female,80.2,67.6,84.0,137.2351263795962
23,Male,71.7,168.6,77.6,219.91803503590776
38,Male,95.7,246.6,36.6,329.2664145864952
26,Female,86.8,202.3,86.4,128.70182599082648
27,Female,55.8,153.8,35.2,61.50771524597669
53,Female,72.9,271.5,17.0,0.0
20,Male,63.7,206.9,52.2,363.48130078949396
58,Female,80.0,284.7,79.5,155.46377459671032
41,Male,74.6,242.8,63.3,253.05037694448734
39,Female,64.4,209.4,48.5,103.33943094344863
31,Male,95.3,291.8,55.8,305.55059167780854
59,Male,75.7,181.3,60.6,133.05104511120112
62,Female,70.0,145.3,53.0,158.817749739381
61,Male,72.0,280.0,44.1,201.8235869319871
44,Male,94.4,230.2,35.2,384.7872289597037
50,Female,85.9,269.7,52.2,201.4379845781742
39,Female,73.1,244.1,47.5,71.32033729819003
46,Male,63.1,282.2,50.1,285.29118899285686
36,Male,65.0,174.4,70.9,140.85730068647095
36,Male,69.2,190.6,45.0,95.82869902597223
23,Female,81.1,190.0,45.8,223.48241084889935
62,Male,84.1,190.7,53.8,229.7090803249212
36,Male,66.3,121.6,102.5,36.737033951492116
30,Female,84.6,208.2,28.2,103.54543505990732
43,Female,64.1,239.6,71.8,233.03468637888722
39,Female,67.7,166.0,44.0,168.39960092103658
38,Female,57.6,154.3,48.8,171.2559593836669
53,Female,57.2,193.2,23.8,325.1199272432731
19,Male,64.0,239.2,87.6,329.4153311699296
64,Male,74.7,146.2,54.5,198.5208538272014
61,Male,63.1,316.8,63.2,149.78233301251888
47,Female,93.0,135.0,20.0,86.41709062716326
44,Female,63.8,171.5,37.2,112.36040627246196
24,Female,77.2,256.7,58.2,0.0
37,Male,90.8,248.4,46.8,36.48299039575676
48,Female,76.1,244.0,58.9,211.9640341726791
40,Female,70.6,165.7,92.1,308.71134993030006
30,Female,76.8,175.2,60.1,134.9611935727974
34,Male,68.3,157.2,41.0,117.84382456247675
21,Female,63.0,184.0,37.0,0.0
31,Female,82.4,219.1,34.7,274.3400271893551
37,Male,68.0,156.9,41.4,20.468472753751847
30,Female,86.2,112.6,42.3,2.8270802653254004
20,Female,84.6,258.5,52.4,127.4140055779162
43,Female,77.0,191.0,60.6,155.02335266808942
43,Male,86.7,237.4,58.7,192.6489411140475
35,Female,68.5,184.5,52.6,64.5662196440339
49,Female,84.4,227.1,54.0,173.2343176628224
31,Male,84.3,316.3,100.7,127.76511841986292
64,Male,71.4,142.8,35.6,147.2766442451969
20,Female,69.8,161.1,49.3,121.89390900417135
18,Male,78.9,155.0,14.3,111.293271013056
43,Female,98.6,305.2,42.3,26.058288446520642
41,Male,72.2,199.1,32.0,43.684730622576986
52,Female,69.6,244.4,35.4,39.01639163213903
31,Female,89.1,67.8,26.3,180.7084990565614
20,Female,75.8,218.7,23.0,204.32116270846137
30,Male,85.4,182.0,52.4,183.77343589080465
64,Male,92.7,269.4,64.2,183.82207668957358
31,Female,52.1,232.9,34.6,280.2907361252849
38,Female,74.5,179.0,9.4,214.4367372157728
43,Female,72.2,279.0,52.2,328.24850633465513
20,Female,63.5,283.6,59.4,84.74466279911407
57,Male,52.0,275.3,63.5,41.93463119244348
21,Male,55.9,238.1,29.6,358.6955928243846
53,Female,76.3,186.1,37.9,156.46218276310046
60,Male,68.6,211.6,27.8,99.28772979031605
18,Male,65.4,179.2,35.2,252.56025606045603
57,Male,76.1,211.1,34.2,103.15959346666963
64,Female,66.7,170.3,39.8,212.57486291077066
50,Female,90.5,191.5,45.0,161.1535116443497
24,Male,67.5,307.2,52.3,180.0211013275668
28,Male,93.1,215.5,33.1,0.0
44,Female,74.6,178.5,47.2,57.16632733136325
31,Female,67.2,145.0,31.9,284.04983740562363
39,Female,66.3,195.0,14.9,286.38630607188344
33,Male,93.2,237.3,60.8,516.7232656448316
63,Male,83.4,206.8,36.7,268.09794801142885
29,Male,65.9,197.3,15.3,60.03132456168309
63,Female,76.4,221.3,61.2,309.76753203780635
27,Female,46.7,219.7,45.0,100.92202742550349
41,Female,59.0,235.3,59.1,88.65183116795141
63,Female,66.0,236.6,58.4,155.56765168793683
35,Female,65.7,195.6,28.1,310.1788653525172
39,Male,89.6,193.1,68.6,170.5394481677357
26,Male,52.0,200.0,13.3,202.3332610315967
34,Male,57.9,228.0,42.1,0.0
55,Female,80.4,256.1,40.7,148.76742486222943
57,Male,77.8,183.2,34.5,303.72417723979277
30,Female,70.8,191.8,74.5,143.92602917047208
54,Male,99.6,159.3,56.0,222.8802996510411
23,Male,82.4,125.2,21.8,242.32930894639028
38,Female,89.7,138.1,24.7,38.99719259420762
53,Male,74.4,149.8,93.1,0.0
24,Male,68.5,166.7,40.5,209.11975832327028
53,Male,68.6,223.0,34.1,155.1987363252542
42,Male,86.1,146.4,73.1,253.0225312511074
28,Male,84.3,200.9,14.5,533.1893941642396
61,Male,72.4,241.9,77.7,365.6047878516437
31,Male,80.7,158.5,34.0,0.0
62,Female,86.6,175.4,60.3,440.63346534853815
46,Male,68.2,134.0,40.4,279.57466233434394
27,Female,70.9,152.4,18.5,126.55088914490707
