Age,Gender,Sugar Intake (g/day),Workout Duration (minutes/day),Group
24,Female,35.9,87.3,Athlete
19,Female,23.8,105.4,Athlete
35,Female,17.4,90.7,Athlete
38,Female,29.7,96.1,Athlete
21,Female,26.1,98.0,Athlete
25,Male,27.5,94.9,Athlete
37,Male,23.3,104.1,Athlete
31,Male,20.6,87.6,Athlete
29,Male,30.8,122.9,Athlete
39,Male,26.6,140.8,Athlete
38,Female,17.8,104.1,Athlete
35,Male,28.4,94.6,Athlete
28,Male,27.4,102.5,Athlete
25,Male,23.4,68.0,Athlete
19,Female,33.1,93.6,Athlete
32,Female,21.9,75.4,Athlete
26,Female,24.2,100.2,Athlete
36,Male,28.8,75.5,Athlete
37,Male,25.4,83.1,Athlete
25,Male,18.1,52.6,Athlete
36,Male,25.9,66.5,Athlete
22,Male,22.9,97.1,Athlete
28,Female,29.3,72.6,Athlete
32,Male,25.8,111.3,Athlete
25,Female,25.5,70.9,Athlete
36,Male,19.8,99.1,Athlete
25,Female,23.8,74.8,Athlete
36,Female,29.9,97.7,Athlete
35,Female,21.1,59.3,Athlete
27,Female,24.8,80.9,Athlete
24,Male,20.3,73.1,Athlete
26,Male,19.1,107.7,Athlete
18,Male,24.6,99.2,Athlete
36,Female,25.9,65.3,Athlete
22,Male,35.0,85.9,Athlete
36,Male,22.7,74.6,Athlete
18,Male,24.7,109.0,Athlete
32,Male,18.7,115.4,Athlete
33,Female,28.1,61.2,Athlete
24,Female,27.0,106.5,Athlete
29,Male,32.4,73.5,Athlete
25,Male,30.6,84.9,Athlete
22,Male,26.8,90.6,Athlete
27,Female,22.6,126.3,Athlete
38,Female,26.0,69.9,Athlete
22,Female,24.4,106.7,Athlete
34,Male,29.8,66.6,Athlete
22,Female,29.1,65.2,Athlete
39,Female,23.5,90.6,Athlete
32,Female,17.7,90.4,Athlete
30,Female,31.7,33.4,Athlete
18,Female,27.9,113.2,Athlete
28,Male,23.4,47.2,Athlete
18,Male,27.7,87.1,Athlete
28,Male,25.4,116.6,Athlete
35,Male,31.6,134.2,Athlete
35,Female,15.4,82.7,Athlete
38,Male,23.0,61.3,Athlete
33,Male,33.0,115.8,Athlete
30,Male,27.8,107.3,Athlete
24,Female,33.9,80.2,Athlete
18,Male,18.9,77.7,Athlete
33,Female,30.4,75.7,Athlete
18,Female,30.1,83.1,Athlete
34,Female,16.6,96.3,Athlete
23,Male,23.5,78.7,Athlete
19,Female,24.5,81.2,Athlete
34,Male,16.9,102.8,Athlete
23,Male,23.6,60.4,Athlete
31,Male,29.4,82.5,Athlete
35,Female,23.0,56.5,Athlete
23,Female,26.2,92.2,Athlete
27,Male,26.2,51.2,Athlete
35,Female,24.9,107.8,Athlete
26,Female,21.5,63.7,Athlete
25,Female,28.3,54.5,Athlete
27,Male,17.1,82.7,Athlete
34,Female,25.0,124.2,Athlete
23,Female,31.9,104.2,Athlete
31,Male,22.8,51.6,Athlete
39,Female,21.4,63.1,Athlete
39,Male,28.6,82.1,Athlete
23,Female,25.8,134.8,Athlete
24,Female,28.7,71.2,Athlete
29,Female,25.2,71.4,Athlete
20,Female,13.1,120.5,Athlete
31,Female,30.9,93.9,Athlete
39,Female,35.4,111.1,Athlete
36,Male,31.4,75.5,Athlete
33,Female,7.3,88.0,Athlete
24,Female,27.3,116.3,Athlete
25,Female,22.7,87.1,Athlete
35,Male,19.6,112.5,Athlete
30,Male,25.6,97.7,Athlete
38,Male,24.3,69.2,Athlete
26,Female,27.5,89.7,Athlete
27,Female,25.3,109.6,Athlete
38,Male,19.4,103.4,Athlete
26,Male,22.1,89.2,Athlete
32,Male,21.3,52.2,Athlete
37,Female,16.4,54.1,Athlete
19,Male,18.1,58.3,Athlete
30,Female,23.9,79.8,Athlete
19,Female,32.1,82.5,Athlete
36,Female,22.3,60.5,Athlete
19,Male,21.2,110.5,Athlete
20,Female,19.1,64.7,Athlete
23,Male,25.2,62.6,Athlete
20,Male,30.9,91.8,Athlete
27,Male,35.0,109.5,Athlete
23,Male,26.4,131.1,Athlete
33,Female,25.7,101.7,Athlete
34,Female,22.3,121.6,Athlete
36,Female,23.1,65.8,Athlete
20,Female,28.1,133.2,Athlete
35,Male,23.4,52.8,Athlete
24,Male,24.2,79.9,Athlete
26,Male,24.9,101.2,Athlete
37,Male,22.0,57.9,Athlete
29,Female,24.6,71.5,Athlete
22,Male,14.9,68.3,Athlete
20,Female,27.7,83.8,Athlete
28,Male,36.8,118.4,Athlete
21,Male,22.2,90.3,Athlete
22,Male,26.9,80.7,Athlete
18,Male,29.3,32.3,Athlete
35,Female,31.4,99.3,Athlete
29,Female,23.7,105.8,Athlete
30,Female,16.0,56.0,Athlete
26,Female,26.3,88.7,Athlete
19,Male,25.6,93.9,Athlete
22,Male,23.3,109.3,Athlete
30,Female,24.3,75.5,Athlete
33,Female,25.7,72.5,Athlete
33,Male,26.8,80.9,Athlete
20,Male,26.6,115.7,Athlete
39,Female,23.9,110.9,Athlete
21,Female,26.9,89.6,Athlete
28,Female,23.6,110.4,Athlete
31,Male,28.2,42.6,Athlete
20,Female,21.9,105.8,Athlete
33,Female,25.4,67.6,Athlete
39,Female,16.9,125.3,Athlete
32,Female,23.2,68.7,Athlete
27,Female,27.8,72.9,Athlete
26,Male,19.8,101.2,Athlete
28,Female,23.4,103.2,Athlete
33,Male,13.0,81.1,Athlete
27,Female,18.2,97.4,Athlete
34,Female,19.5,99.9,Athlete
36,Female,25.5,97.9,Athlete
19,Male,26.7,81.9,Athlete
19,Male,24.7,100.1,Athlete
23,Male,23.1,118.1,Athlete
36,Female,23.1,65.5,Athlete
25,Female,28.6,73.2,Athlete
20,Male,26.1,90.5,Athlete
31,Male,23.3,68.9,Athlete
33,Female,31.5,53.9,Athlete
18,Male,34.7,111.9,Athlete
38,Female,18.8,45.4,Athlete
20,Male,27.6,82.0,Athlete
39,Male,40.4,105.2,Athlete
35,Male,26.4,95.3,Athlete
26,Female,25.6,82.3,Athlete
23,Female,24.7,68.1,Athlete
38,Male,27.5,96.9,Athlete
18,Female,28.8,70.2,Athlete
38,Female,18.8,95.3,Athlete
27,Female,24.9,92.8,Athlete
23,Female,13.7,93.0,Athlete
29,Male,24.0,77.2,Athlete
21,Female,20.5,130.7,Athlete
30,Female,26.7,97.2,Athlete
34,Male,16.7,84.4,Athlete
25,Female,22.4,95.3,Athlete
37,Female,29.8,74.5,Athlete
20,Female,21.6,82.3,Athlete
29,Male,15.5,137.8,Athlete
24,Male,26.3,74.7,Athlete
29,Female,22.1,88.4,Athlete
19,Female,24.1,80.9,Athlete
31,Male,21.4,69.2,Athlete
39,Male,34.9,98.4,Athlete
22,Male,17.2,90.7,Athlete
26,Female,39.2,108.2,Athlete
38,Female,23.0,106.2,Athlete
28,Male,25.9,108.0,Athlete
22,Female,22.1,71.6,Athlete
20,Female,21.9,102.8,Athlete
34,Female,21.1,103.3,Athlete
19,Female,28.0,69.6,Athlete
18,Female,17.9,83.6,Athlete
24,Female,26.8,60.9,Athlete
31,Female,14.1,103.4,Athlete
22,Male,26.4,103.3,Athlete
36,Male,29.2,118.6,Athlete
28,Male,18.6,85.4,Athlete
19,Male,28.4,99.0,Athlete
25,Male,25.3,109.8,Athlete
26,Male,33.0,74.9,Athlete
20,Male,20.7,71.9,Athlete
19,Male,39.1,75.5,Athlete
24,Male,13.0,83.0,Athlete
22,Female,23.4,72.6,Athlete
38,Female,16.5,76.4,Athlete
22,Male,34.3,107.6,Athlete
37,Female,23.7,88.1,Athlete
30,Female,24.1,96.1,Athlete
38,Male,27.2,79.0,Athlete
37,Male,25.0,77.7,Athlete
23,Male,22.0,95.7,Athlete
37,Female,18.7,92.5,Athlete
35,Female,25.8,105.6,Athlete
19,Male,26.9,116.0,Athlete
23,Female,28.5,76.2,Athlete
26,Female,34.6,107.2,Athlete
20,Female,14.1,68.4,Athlete
18,Male,24.7,131.5,Athlete
18,Female,31.0,74.3,Athlete
36,Female,24.4,103.8,Athlete
22,Female,13.3,68.3,Athlete
30,Female,18.5,87.0,Athlete
36,Female,26.6,120.9,Athlete
29,Female,26.5,73.6,Athlete
33,Female,28.4,134.1,Athlete
36,Male,21.1,89.9,Athlete
20,Male,26.3,109.5,Athlete
29,Female,20.3,98.1,Athlete
22,Male,26.3,99.1,Athlete
19,Female,25.3,61.5,Athlete
39,Female,20.9,80.5,Athlete
24,Female,32.8,113.9,Athlete
30,Male,16.5,83.1,Athlete
32,Female,24.3,92.8,Athlete
39,Female,20.8,59.1,Athlete
20,Male,34.2,79.2,Athlete
38,Male,28.0,112.5,Athlete
37,Female,21.8,64.3,Athlete
22,Male,23.6,104.3,Athlete
25,Male,34.3,93.6,Athlete
39,Female,20.3,85.3,Athlete
18,Female,16.2,84.4,Athlete
25,Female,26.5,80.2,Athlete
35,Male,26.6,82.0,Athlete
37,Male,28.3,108.6,Athlete
33,Male,28.4,81.4,Athlete
35,Female,33.9,126.2,Athlete
37,Male,16.4,96.0,Athlete
29,Male,19.0,78.5,Athlete
30,Female,28.3,109.5,Athlete
30,Female,19.5,102.5,Athlete
27,Female,17.7,56.9,Athlete
